car,price,body,miles,engV,engType,registration,year,model,drive,Age
Honda,30000,sedan,52,3.5,Gas,yes,2014,Accord,front,5
Porsche,26900,crossover,135,4.8,Petrol,yes,2008,Cayenne,full,11
Toyota,80000,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,full,5
BMW,8500,sedan,260,2.2,Gas,yes,2001,520,rear,18
Mercedes-Benz,7000,van,197,2.2,Diesel,yes,2002,Vito пасс.,front,17
Audi,36000,crossover,145,3,Petrol,yes,2010,Q7,full,9
Mercedes-Benz,9500,van,280,2.2,Diesel,yes,2005,Vito пасс.,rear,14
Toyota,103999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Toyota,1.00E+05,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Mercedes-Benz,16500,other,107,2.2,Diesel,yes,2010,Vito пасс.,front,9
Toyota,15500,sedan,120,3.5,Petrol,yes,2008,Camry,front,11
Porsche,0,sedan,22,4.8,Petrol,yes,2014,Panamera,full,5
Mercedes-Benz,10999,van,191,2.2,Diesel,yes,2007,Vito пасс.,rear,12
Audi,0,crossover,0,3,Diesel,yes,2015,Q7,full,4
Audi,88888,crossover,0,3,Diesel,yes,2015,Q7,full,4
Toyota,0,crossover,49,4.5,Diesel,yes,2014,Land Cruiser 200,full,5
Mercedes-Benz,16500,van,223,2.2,Diesel,yes,2009,Vito пасс.,rear,10
Volkswagen,17900,crossover,145,3,Diesel,yes,2007,Touareg,full,12
Volkswagen,0,van,165,2,Diesel,yes,2013,T5 (Transporter) груз,front,6
Mercedes-Benz,20400,sedan,190,1.8,Gas,yes,2011,E-Class,rear,8
Volkswagen,20000,crossover,115,2.5,Diesel,yes,2008,Touareg,full,11
BMW,21000,sedan,186,3,Petrol,yes,2007,530,rear,12
Hyundai,11800,sedan,65,1.4,Petrol,yes,2013,Accent,front,6
Mercedes-Benz,0,van,450,2.2,Diesel,yes,2000,Vito пасс.,front,19
Volkswagen,37990,crossover,140,3,Diesel,yes,2012,Touareg,full,7
Porsche,0,crossover,0,3,Diesel,yes,2016,Cayenne,full,3
BMW,3900,vagon,240,3,Diesel,no,2001,530,rear,18
Volkswagen,33500,crossover,98,NA,Petrol,yes,2013,Touareg,full,6
Hyundai,9700,sedan,54,1.4,Petrol,yes,2013,Accent,front,6
Mercedes-Benz,6200,sedan,221,1.8,Gas,yes,2004,E-Class,rear,15
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front,8
Hyundai,6900,crossover,105,1.6,Petrol,yes,2009,Accent,front,10
Mercedes-Benz,20300,sedan,198,1.8,Gas,yes,2011,E-Class,rear,8
Audi,18500,crossover,185,3.6,Petrol,yes,2008,Q7,full,11
Toyota,73900,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Toyota,30500,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full,8
Toyota,30800,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full,8
Toyota,25500,crossover,200,4,Petrol,yes,2007,Land Cruiser Prado,full,12
Opel,3550,vagon,231,2,Diesel,no,2005,Vectra C,front,14
Volkswagen,0,van,162,2,Diesel,yes,2011,T5 (Transporter) груз,front,8
Toyota,99999,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full,3
Mercedes-Benz,107999,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,3
BMW,0,crossover,1,3,Diesel,yes,2014,X6,full,5
BMW,0,crossover,0,3,Diesel,yes,2015,X6,full,4
Toyota,74999,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Audi,34000,crossover,118,2,Diesel,yes,2013,Q5,full,6
BMW,2850,sedan,214,1.9,Petrol,no,2000,318,rear,19
Volkswagen,3250,sedan,255,1.9,Diesel,no,2003,Passat B5,front,16
Volkswagen,16900,crossover,133,2.5,Diesel,yes,2007,Touareg,full,12
Toyota,99999,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Chevrolet,6800,sedan,106,1.6,Petrol,yes,2007,Lacetti,front,12
Toyota,23400,crossover,120,4,Petrol,yes,2007,Land Cruiser Prado,full,12
Skoda,17900,sedan,65,1.8,Petrol,yes,2013,Superb,front,6
Toyota,37700,crossover,62,3,Diesel,yes,2013,Land Cruiser Prado,full,6
Land Rover,29500,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full,11
Volkswagen,30000,sedan,67,2,Diesel,yes,2013,Passat B7,front,6
Mitsubishi,7999,sedan,112,2,Petrol,yes,2008,Lancer X,front,11
Land Rover,43500,crossover,54,5,Petrol,yes,2012,Range Rover Sport,full,7
Mercedes-Benz,107777,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Mitsubishi,8400,sedan,91,1.5,Petrol,yes,2009,Lancer X,front,10
Land Rover,40000,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full,6
Mercedes-Benz,109999,crossover,0,2.98,Diesel,yes,2016,GLS 350,full,3
Opel,2780,sedan,254,2.2,Diesel,yes,2003,Vectra C,front,16
Mercedes-Benz,43500,other,51,3,Diesel,yes,2014,E-Class,rear,5
Volkswagen,18700,other,145,2,Diesel,yes,2011,T5 (Transporter) груз,front,8
Chevrolet,7800,sedan,85,1.6,Gas,yes,2012,Lacetti,front,7
BMW,6350,crossover,156,4.4,Gas,no,2002,X5,full,17
Daewoo,3500,sedan,112,NA,Petrol,yes,2007,Lanos,front,12
BMW,25500,other,163,4.8,Petrol,yes,2008,X5,full,11
Land Rover,53500,crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full,7
Nissan,15999,crossover,59,2,Petrol,yes,2011,Qashqai,full,8
Volkswagen,14499,van,164,2,Diesel,yes,2013,T5 (Transporter) груз,front,6
Daewoo,4300,sedan,70,1.5,Petrol,yes,2007,Lanos,front,12
Mitsubishi,18999,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,full,11
Land Rover,0,crossover,45,3,Petrol,yes,2014,Range Rover Sport,full,5
Mercedes-Benz,71999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,3
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Mitsubishi,18500,crossover,135,3,Gas,yes,2009,Pajero Wagon,full,10
Volkswagen,18900,other,45,2,Diesel,yes,2013,Passat B7,front,6
BMW,67500,crossover,1,2,Diesel,yes,2016,X5,full,3
BMW,67500,crossover,1,2.5,Diesel,yes,2016,X5,full,3
Land Rover,28999,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full,11
Land Rover,49999,crossover,43,5,Petrol,yes,2012,Range Rover Sport,full,7
Toyota,14700,sedan,139,3.5,Petrol,yes,2008,Camry,front,11
Land Rover,53500,crossover,57,3,Diesel,yes,2013,Range Rover Sport,full,6
Daewoo,5600,sedan,145,1.6,Petrol,yes,2008,Lanos,front,11
Land Rover,78900,crossover,0,3,Diesel,yes,2015,Range Rover Sport,full,4
Skoda,13200,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front,7
BMW,37200,other,115,3,Diesel,yes,2011,X5,full,8
Land Rover,27500,other,174,3.6,Diesel,yes,2008,Range Rover,full,11
Mazda,9200,sedan,124,2,Petrol,yes,2007,3,front,12
Mercedes-Benz,17500,van,220,3,Diesel,yes,2012,Vito груз.,rear,7
Toyota,24000,sedan,16,2.5,Petrol,yes,2013,Camry,front,6
Land Rover,77777,crossover,42,2.99,Diesel,yes,2014,Range Rover Sport,full,5
Mazda,8000,sedan,167,2,Petrol,yes,2007,6,front,12
BMW,0,crossover,36,3,Diesel,yes,2013,X5,full,6
Lexus,85999,crossover,39,5.7,Gas,yes,2013,LX 570,full,6
Mercedes-Benz,2400,sedan,3,3,Diesel,yes,1998,E-Class,front,21
Toyota,195000,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full,3
Audi,4600,vagon,242,99.99,Diesel,no,2004,A6,front,15
Mitsubishi,18900,crossover,127,3,Gas,yes,2008,Pajero Wagon,full,11
Mercedes-Benz,114999,crossover,0,2.99,Diesel,yes,2016,GLS 350,full,3
Mercedes-Benz,103333,crossover,0,3,Diesel,yes,2016,GLE-Class,full,3
Mercedes-Benz,0,crossover,1,3,Petrol,yes,2015,GLE-Class,full,4
Toyota,20800,crossover,107,4,Petrol,yes,2006,Land Cruiser Prado,full,13
BMW,24500,crossover,170,4.8,Gas,yes,2007,X5,full,12
Toyota,12300,sedan,157,2.4,Gas,yes,2007,Camry,front,12
Mercedes-Benz,20500,sedan,173,1.8,Gas,yes,2011,E-Class,rear,8
BMW,11500,sedan,193,4.4,Petrol,yes,2000,740,rear,19
Mercedes-Benz,13200,van,182,2.2,Diesel,yes,2011,Vito груз.,rear,8
BMW,29900,crossover,235,3,Diesel,yes,2009,X5,full,10
Mercedes-Benz,12500,van,167,2.2,Diesel,yes,2013,Vito груз.,rear,6
Skoda,13999,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front,7
Ford,15500,crossover,68,2.5,Gas,yes,2010,Kuga,full,9
Lexus,79500,crossover,40,5.7,Petrol,yes,2014,LX 570,full,5
Land Rover,30000,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full,11
Lexus,16600,sedan,179,3,Petrol,yes,2006,GS 300,full,13
Toyota,14300,sedan,71,2.4,Petrol,yes,2008,Camry,front,11
Lexus,0,crossover,11,5.7,Petrol,yes,2016,LX 570,full,3
Lexus,47000,crossover,1,5.7,Petrol,yes,2008,LX 570,full,11
Daewoo,3200,sedan,130,1.5,Petrol,yes,2003,Lanos,front,16
Mercedes-Benz,0,other,22,3,Diesel,yes,2015,S 350,full,4
Audi,24996,sedan,98,3.2,Petrol,yes,2009,A5,full,10
Mercedes-Benz,9200,other,280,2.4,Petrol,yes,2003,E-Class,rear,16
Audi,6800,sedan,225,2.4,Gas,yes,1998,A6,front,21
Ford,15500,crossover,68,2.5,Diesel,yes,2010,Kuga,front,9
Mercedes-Benz,38200,sedan,39,1.6,Petrol,yes,2015,C-Class,rear,4
Hyundai,10500,crossover,120,NA,Other,yes,2007,Tucson,full,12
Skoda,19200,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front,5
Mercedes-Benz,125000,sedan,18,3,Diesel,yes,2015,S 350,full,4
Mercedes-Benz,0,sedan,62,3,Diesel,yes,2013,S 350,rear,6
Porsche,87900,crossover,1,3,Diesel,yes,2016,Cayenne,full,3
Toyota,9000,sedan,232,2.4,Petrol,yes,2005,Camry,front,14
Infiniti,35999,crossover,98,3.7,Gas,yes,2012,FX 37,full,7
Lexus,21900,sedan,77,3,Petrol,yes,2008,GS 300,rear,11
Toyota,13900,sedan,139,2.4,Other,yes,2008,Camry,front,11
Lexus,22400,crossover,100,4.7,Gas,yes,2005,GX,full,14
Porsche,81000,crossover,35,4.8,Petrol,yes,2014,Cayenne,full,5
Mercedes-Benz,6200,other,340,2.4,Gas,yes,1998,E-Class,rear,21
BMW,66900,crossover,70,3,Diesel,yes,2014,X5,full,5
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full,3
Mercedes-Benz,38600,other,12,1.8,Petrol,yes,2012,E-Class,rear,7
Nissan,21850,crossover,64,2,Petrol,yes,2013,X-Trail,full,6
Mercedes-Benz,37500,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear,10
Nissan,17000,hatch,20,NA,Other,yes,2014,Leaf,front,5
Audi,39000,sedan,18,1.8,Other,yes,2015,A5,front,4
Lexus,44500,crossover,144,5.7,Gas,yes,2009,LX 570,full,10
Toyota,11300,hatch,87,1,Petrol,yes,2009,IQ,front,10
Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full,3
Skoda,8100,sedan,135,1.8,Petrol,yes,2008,Superb,front,11
Mitsubishi,23000,crossover,125,3,Gas,yes,2008,Pajero Wagon,full,11
Nissan,14200,sedan,28,NA,Other,yes,2014,Leaf,front,5
Tesla,159600,sedan,0,NA,Other,yes,2016,Model S,full,3
Mercedes-Benz,0,vagon,200,2.2,Diesel,yes,2006,Vito пасс.,rear,13
Audi,1950,vagon,210,1.8,Gas,no,1996,A4,front,23
Land Rover,33000,crossover,140,5,Petrol,yes,2010,Range Rover Sport,full,9
Audi,0,crossover,65,3,Diesel,yes,2013,A6,full,6
Land Rover,51500,crossover,93,3,Diesel,yes,2013,Range Rover Sport,full,6
Skoda,22700,hatch,24,1.4,Petrol,yes,2014,Octavia A7,front,5
Nissan,17500,hatch,62,NA,Other,yes,2013,Leaf,front,6
Skoda,11900,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front,7
Porsche,0,crossover,200,4.8,Petrol,yes,2007,Cayenne,full,12
BMW,28000,sedan,170,2,Diesel,yes,2011,520,rear,8
Subaru,12900,vagon,116,2,Petrol,yes,2008,Forester,full,11
Kia,16400,hatch,54,1.6,Diesel,yes,2013,Ceed,front,6
Toyota,24171.42,sedan,1,2.5,Petrol,yes,2016,Camry,front,3
Mercedes-Benz,20300,sedan,198,1.8,Gas,yes,2011,E-Class,rear,8
Subaru,14000,crossover,171,99.99,Petrol,yes,2010,Forester,full,9
Volkswagen,9900,sedan,80,1.6,Petrol,yes,2011,Polo,front,8
Mercedes-Benz,110000,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Nissan,16500,hatch,32,NA,Other,yes,2013,Leaf,front,6
Audi,25500,sedan,140,2.8,Petrol,yes,2012,A6,front,7
Volkswagen,7000,van,345,1.9,Diesel,yes,2006,T5 (Transporter) груз,front,13
VAZ,3600,other,80,2,Gas,yes,2002,2121,full,17
Honda,12990,sedan,111,1.8,Petrol,yes,2011,Civic,front,8
Porsche,0,sedan,14,3.6,Petrol,yes,2014,Panamera,full,5
Land Rover,147000,crossover,15,5,Petrol,yes,2015,Range Rover Sport,full,4
Honda,11900,sedan,109,2.4,Petrol,yes,2009,Accord,front,10
Volkswagen,12199,vagon,149,2,Diesel,yes,2008,Passat B6,front,11
Chevrolet,5200,sedan,179,1.5,Gas,yes,2008,Aveo,front,11
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front,8
Toyota,24800,sedan,43,2.5,Gas,yes,2015,Camry,front,4
Kia,13300,hatch,35,1.6,Petrol,yes,2012,Ceed,front,7
Audi,2200,sedan,250,NA,Diesel,no,2001,A6,front,18
Audi,2300,vagon,250,2.5,Diesel,no,2001,A6,full,18
Audi,2350,vagon,250,NA,Diesel,no,2001,A6,front,18
Audi,2500,sedan,180,NA,Petrol,no,2000,A4,front,19
BMW,0,crossover,8,2,Diesel,yes,2016,X5,full,3
Mitsubishi,6200,sedan,152,1.6,Petrol,yes,2006,Lancer,front,13
Nissan,18200,crossover,65,3.5,Gas,yes,2009,Murano,full,10
Ford,12500,sedan,63,1.6,Petrol,yes,2013,Focus,front,6
Porsche,117777,hatch,9,4.8,Petrol,yes,2014,Panamera,full,5
Kia,8800,other,135,2.4,Gas,yes,2006,Sorento,full,13
Porsche,69900,sedan,40,3,Diesel,yes,2013,Panamera,rear,6
Opel,5350,sedan,180,1.4,Petrol,yes,2007,Astra G,front,12
Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full,3
Volkswagen,16500,sedan,123,1.8,Petrol,yes,2010,Passat B6,front,9
Chevrolet,6700,sedan,80,1.5,Petrol,yes,2011,Aveo,front,8
Mercedes-Benz,111999,crossover,0,3,Diesel,yes,2016,GLS 350,full,3
Audi,3700,vagon,273,2.5,Diesel,no,2003,A6,front,16
Porsche,0,crossover,13,3,Diesel,yes,2015,Macan,full,4
Alfa Romeo,5900,hatch,199,1.6,Petrol,yes,2002,147,front,17
Toyota,75500,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full,4
Mercedes-Benz,55000,crossover,40,4.6,Petrol,yes,2013,ML 500,full,6
Mitsubishi,9800,sedan,148,2,Gas,yes,2008,Lancer X,front,11
Subaru,6100,vagon,350,2,Petrol,yes,2005,Forester,full,14
Chevrolet,5500,sedan,121,1.5,Petrol,yes,2006,Aveo,front,13
Chevrolet,7799,sedan,199,1.6,Gas,yes,2012,Aveo,front,7
Honda,13900,hatch,63,1.8,Petrol,yes,2013,Civic,front,6
Kia,14500,crossover,106,2.5,Diesel,yes,2008,Sorento,full,11
Smart,8000,other,62,1,Petrol,yes,2011,Fortwo,rear,8
Renault,14700,crossover,61,1.5,Diesel,yes,2013,Duster,front,6
Lexus,135555,crossover,0,4.5,Diesel,yes,2016,LX 450,full,3
Hyundai,14500,crossover,102,2.2,Diesel,yes,2008,Santa FE,full,11
VAZ,4100,hatch,60,1.6,Petrol,yes,2013,2114,front,6
Porsche,54900,sedan,64,4.8,Petrol,yes,2011,Panamera,full,8
BMW,30500,sedan,73,2,Petrol,yes,2013,520,rear,6
Volkswagen,10700,sedan,195,3.2,Petrol,yes,2007,Passat B6,full,12
Nissan,17700,hatch,21,0.11,Other,yes,2014,Leaf,front,5
Renault,8700,vagon,123,1.5,Diesel,yes,2009,Megane,front,10
Mitsubishi,6200,sedan,170,NA,Other,yes,2005,Lancer,front,14
Honda,13200,sedan,145,2,Gas,yes,2008,Accord,front,11
Toyota,59900,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,full,7
Ford,12099,sedan,109,1.6,Gas,yes,2011,Focus,front,8
Volkswagen,7300,van,240,1.9,Diesel,yes,2005,Caddy пасс.,front,14
Mercedes-Benz,24800,other,160,3,Diesel,yes,2007,S 320,rear,12
Tesla,80000,sedan,27,NA,Other,yes,2013,Model S,front,6
Ford,12300,hatch,71,1.6,Gas,yes,2013,Fiesta,front,6
Subaru,17000,crossover,134,2,Petrol,yes,2011,Forester,full,8
Tesla,58000,hatch,52,NA,Other,yes,2013,Model S,front,6
Land Rover,102999,crossover,39,5,Petrol,yes,2014,Range Rover,full,5
Peugeot,8500,van,135,1.6,Diesel,yes,2009,Partner пасс.,front,10
Hyundai,29999,crossover,52,2.2,Diesel,yes,2014,Santa FE,full,5
Suzuki,11500,crossover,101,2,Petrol,yes,2008,Grand Vitara,full,11
Kia,20500,crossover,98,2,Petrol,yes,2011,Sportage,full,8
BMW,89999,crossover,17,4.4,Petrol,yes,2015,X6 M,full,4
Renault,7800,vagon,120,1.5,Diesel,yes,2008,Megane,front,11
Lexus,16500,sedan,115,3,Petrol,yes,2007,GS 300,rear,12
Renault,10600,vagon,220,2.5,Other,yes,2006,Trafic пасс.,front,13
Audi,37800,other,126,3,Diesel,yes,2010,Q7,full,9
Volkswagen,8800,van,93,1.6,Diesel,yes,2012,Caddy груз.,front,7
BMW,8500,sedan,284,1.9,Gas,yes,2000,316,rear,19
Toyota,25900,crossover,97,4,Petrol,yes,2009,Land Cruiser Prado,full,10
Land Rover,95000,crossover,60,5,Petrol,yes,2014,Range Rover,full,5
Subaru,8000,crossover,210,2,Petrol,yes,2005,Forester,full,14
BMW,2550,sedan,280,1.6,Petrol,no,2000,316,rear,19
Nissan,18500,hatch,9,NA,Other,yes,2015,Leaf,front,4
Nissan,20999,hatch,12,NA,Other,yes,2015,Leaf,front,4
Nissan,14999,hatch,31,1,Other,yes,2013,Leaf,front,6
Mercedes-Benz,12600,sedan,123,3.2,Petrol,yes,2000,S 320,rear,19
Tesla,85500,sedan,1,NA,Other,yes,2016,Model S,full,3
Renault,18456.1611,crossover,1,1.5,Diesel,yes,2016,Duster,full,3
Mercedes-Benz,8200,sedan,280,2.4,Gas,yes,1997,E-Class,rear,22
Mazda,12500,sedan,89,2,Petrol,yes,2009,6,front,10
Peugeot,8300,vagon,135,2,Petrol,yes,2008,307,front,11
Audi,4150,sedan,220,2.5,Diesel,no,1999,A8,front,20
Audi,46000,sedan,170,4.2,Diesel,yes,2011,A8,full,8
Toyota,28700,crossover,100,3.5,Petrol,yes,2012,Highlander,full,7
Daewoo,3499,hatch,104,0.8,Petrol,yes,2008,Matiz,front,11
Skoda,7650,sedan,119,1.8,Gas,yes,2006,Octavia Tour,front,13
Audi,2411,sedan,240,1.6,Other,yes,1987,80,front,32
Volkswagen,8900,van,272,1.9,Diesel,yes,2005,Caddy пасс.,front,14
Renault,11500,vagon,230,1.5,Diesel,yes,2012,Megane,front,7
Volkswagen,4500,van,380,2,Diesel,yes,2004,Caddy груз.,front,15
Hyundai,9600,sedan,98,1.4,Petrol,yes,2011,Accent,front,8
Ford,5900,hatch,138,1.4,Petrol,yes,2008,Fiesta,front,11
Mercedes-Benz,9900,sedan,275,2.2,Other,yes,2005,E-Class,rear,14
Toyota,15300,crossover,130,2,Petrol,yes,2008,Rav 4,full,11
Nissan,9300,hatch,97,1.2,Petrol,yes,2010,Micra,front,9
Renault,12499,van,78,2,Diesel,yes,2012,Trafic пасс.,front,7
Nissan,15000,crossover,46,1.6,Petrol,yes,2013,Juke,front,6
Toyota,37700,crossover,47,5.7,Gas,yes,2009,Sequoia,full,10
BMW,8000,sedan,330,NA,Diesel,yes,1997,525,rear,22
Smart,6500,other,110,1,Petrol,yes,2007,Fortwo,rear,12
Suzuki,9650,crossover,81,2,Petrol,yes,2006,Grand Vitara,full,13
Volkswagen,7000,sedan,185,2.8,Gas,yes,2004,Passat B5,full,15
Honda,13200,sedan,100,1.8,Petrol,yes,2012,Civic,front,7
Honda,13400,sedan,38,1.8,Petrol,yes,2012,Civic,front,7
Suzuki,6999,crossover,203,2,Petrol,yes,2002,Grand Vitara,full,17
BMW,34600,crossover,163,5,Petrol,yes,2011,X5 M,full,8
Audi,1300,sedan,250,NA,Gas,no,1994,80,front,25
Kia,23999,crossover,14,2.2,Diesel,yes,2012,Sorento,full,7
Opel,1600,sedan,280,2.3,Diesel,yes,1987,Omega,rear,32
Mercedes-Benz,35900,crossover,254,5,Gas,yes,2004,G 500,full,15
Ford,16400,crossover,87,2.5,Petrol,yes,2010,Kuga,full,9
Hyundai,8900,sedan,138,1.4,Petrol,yes,2011,Accent,front,8
Subaru,38900,crossover,0,2,Diesel,yes,2016,Forester,full,3
Renault,13200,van,230,2,Diesel,yes,2009,Trafic пасс.,front,10
Toyota,26500,crossover,21,2,Petrol,yes,2013,Rav 4,full,6
Volkswagen,7800,van,282,2.5,Diesel,yes,2000,T4 (Transporter) пасс.,front,19
Mercedes-Benz,109999,crossover,1,3,Diesel,yes,2016,GLS 350,full,3
Audi,24900,sedan,163,4.2,Diesel,yes,2008,A8,full,11
Lexus,27500,crossover,150,4.7,Gas,yes,2005,LX 470,full,14
Volkswagen,0,vagon,217,2,Diesel,no,2008,Passat B6,full,11
Daewoo,3950,hatch,36,0.8,Petrol,yes,2011,Matiz,front,8
Tesla,58000,sedan,8,NA,Other,yes,2013,Model S,front,6
BMW,63500,crossover,33,3,Petrol,yes,2015,X5,full,4
Lexus,57800,crossover,60,5.7,Petrol,yes,2011,LX 570,full,8
Renault,6800,van,131,1.5,Diesel,yes,2013,Kangoo груз.,front,6
Tesla,59000,sedan,30,NA,Other,yes,2013,Model S,rear,6
Nissan,19000,crossover,70,1.6,Petrol,yes,2012,Qashqai,front,7
Toyota,14700,sedan,131,3.5,Gas,yes,2007,Camry,front,12
Lexus,6000,sedan,350,3,Petrol,yes,1996,GS 300,rear,23
Toyota,23000,other,211,4,Gas,yes,2007,Land Cruiser Prado,full,12
Mazda,2700,other,450,2,Gas,yes,1989,626,front,30
Hyundai,6200,hatch,121,1.4,Gas,yes,2008,Getz,front,11
Toyota,28900,crossover,20,2.5,Petrol,yes,2013,Rav 4,full,6
Volkswagen,19100,sedan,4,1.6,Other,yes,2016,Jetta,front,3
BMW,1500,sedan,270,2.5,Diesel,no,1992,525,rear,27
Renault,5400,vagon,181,1.5,Diesel,no,2010,Megane,front,9
Nissan,15700,hatch,22,0.11,Other,yes,2013,Leaf,front,6
BMW,26900,crossover,170,3,Diesel,yes,2008,X5,full,11
Volkswagen,10600,van,120,2,Diesel,yes,2007,Touran,front,12
Honda,16777,sedan,77,2.4,Petrol,yes,2011,Accord,front,8
Land Rover,102999,crossover,39,5,Petrol,yes,2014,Range Rover,full,5
Mitsubishi,16900,crossover,126,3,Gas,yes,2008,Pajero Wagon,full,11
BMW,8500,other,265,2.8,Gas,yes,1998,328,rear,21
Mercedes-Benz,17800,van,162,1.8,Diesel,yes,2012,B 180,front,7
Mercedes-Benz,20300,sedan,198,1.8,Gas,yes,2011,E-Class,rear,8
Mitsubishi,7200,sedan,83,1.6,Other,yes,2007,Lancer,front,12
Volkswagen,8599,van,169,1.6,Diesel,yes,2011,Caddy груз.,front,8
BMW,6400,other,220,2.5,Petrol,yes,1997,323,rear,22
Ford,6450,hatch,150,1.4,Petrol,yes,2007,Fiesta,front,12
Audi,3600,sedan,374,2.5,Diesel,no,2001,A8,full,18
Chevrolet,5999,sedan,121,1.6,Petrol,yes,2008,Lacetti,front,11
Mazda,25000,sedan,0,2,Other,yes,2016,6,front,3
Ford,6450,hatch,149,1.4,Petrol,yes,2007,Fiesta,front,12
Land Rover,47500,crossover,63,4.4,Diesel,yes,2012,Range Rover,full,7
Ford,6450,hatch,150,1.4,Petrol,yes,2007,Fiesta,front,12
Subaru,10500,sedan,125,2,Petrol,yes,2007,Legacy,full,12
BMW,28900,sedan,78,2,Petrol,yes,2012,528,rear,7
Toyota,15500,crossover,165,2.7,Gas,yes,2005,Land Cruiser Prado,full,14
